Designator,Mid X,Mid Y,Layer,Rotation
C618_2,5.691mm,30.954064mm,Bottom,270.0
D604_2,3.516mm,31.354mm,Bottom,90.0
R602_2,8.565999999999999mm,19.054mm,Bottom,90.0
R603_2,10.566mm,19.829mm,Bottom,270.0
R604_2,3.266mm,25.878999999999998mm,Bottom,0.0
R605_2,9.565999999999999mm,19.854mm,Bottom,90.0
R606_2,8.841000000000001mm,11.253999999999998mm,Bottom,90.0
R607_2,2.741mm,13.954mm,Bottom,90.0
R608_2,9.565999999999999mm,17.954mm,Bottom,270.0
R609_2,13.916mm,24.954mm,Bottom,90.0
R610_2,6.316mm,15.878999999999998mm,Bottom,90.0
R611_2,6.316mm,13.954mm,Bottom,90.0
R612_2,5.049334mm,13.954mm,Bottom,270.0
R613_2,12.216mm,23.979mm,Bottom,0.0
R614_2,12.991mm,27.558290999999997mm,Bottom,270.0
R615_2,12.516mm,25.503999999999998mm,Bottom,270.0
R616_2,12.491mm,10.303999999999998mm,Bottom,90.0
R618_2,10.566mm,22.579mm,Bottom,90.0
R619_2,9.565999999999999mm,21.753999999999998mm,Bottom,90.0
R620_2,8.565999999999999mm,21.753999999999998mm,Bottom,270.0
R621_2,13.426mm,33.379mm,Bottom,180.0
R622_2,12.491mm,12.253999999999998mm,Bottom,270.0
R623_2,8.565999999999999mm,23.628999999999998mm,Bottom,90.0
R624_2,14.891mm,27.554mm,Bottom,270.0
R629_2,9.279652mm,33.369mm,Bottom,0.0
R630_2,12.006mm,18.538999999999998mm,Bottom,90.0
U600_2,5.016mm,21.329mm,Bottom,180.0
U601_2,13.941mm,30.679mm,Bottom,270.0
U605_2,9.215627999999999mm,29.179mm,Bottom,90.0
C600_2,3.641mm,19.0915mm,Top,180.0
C609_2,5.066mm,27.404mm,Top,180.0
C610_2,11.616mm,32.802mm,Top,270.0
C611_2,9.716000000000001mm,17.979mm,Top,180.0
C612_2,11.616mm,17.979mm,Top,0.0
C613_2,7.091mm,31.904mm,Top,270.0
C614_2,7.591mm,17.979mm,Top,0.0
C615_2,14.391mm,28.079mm,Top,0.0
C616_2,9.5535mm,29.753999999999998mm,Top,180.0
D600_2,4.491mm,9.378999999999998mm,Top,0.0
D601_2,3.166mm,22.154mm,Top,90.0
D602_2,3.166mm,25.128999999999998mm,Top,270.0
D603_2,13.996mm,29.66145mm,Top,180.0
Q600_2,7.716mm,13.818999999999999mm,Top,0.0
Q601_2,14.391mm,13.729mm,Top,90.0
R600_2,5.541mm,18.029mm,Top,180.0
R601_2,3.641mm,18.029mm,Top,180.0
R617_2,14.391mm,19.279mm,Top,0.0
R625_2,7.066mm,29.929mm,Top,270.0
R626_2,3.641mm,20.154mm,Top,180.0
R627_2,3.191mm,27.279mm,Top,180.0
R628_2,11.616mm,30.154mm,Top,90.0
U602_2,9.866mm,23.628999999999998mm,Top,0.0
U603_2,13.866mm,32.254mm,Top,180.0
U604_2,9.391mm,32.204mm,Top,270.0
